epoch,box_loss,cls_loss,val_box_loss,val_cls_loss
1,0.55671,0.35632,1.467,0.99481
2,0.58358,0.36219,1.4566,0.98446
3,0.58339,0.36725,1.4547,0.95367
4,0.56805,0.35698,1.4433,0.92383
5,0.57037,0.35514,1.4428,0.9336
6,0.56368,0.35278,1.4476,0.954
7,0.57437,0.35454,1.4465,0.96912
8,0.58577,0.363,1.4451,0.95169
9,0.58481,0.36503,1.4521,0.96157
10,0.57143,0.36249,1.4651,0.95093
11,0.57042,0.36024,1.4563,0.92018
12,0.57091,0.35887,1.4484,0.94064
13,0.56382,0.35216,1.4447,0.94724
14,0.54347,0.34678,1.4482,0.94395
15,0.58009,0.36159,1.4642,0.94801
16,0.57932,0.36674,1.4633,0.96101
17,0.54663,0.35194,1.4507,0.9537
18,0.5565,0.35091,1.4486,0.94431
19,0.55678,0.35371,1.4526,0.99025
20,0.55256,0.34974,1.4526,0.98571
21,0.56131,0.35397,1.4421,0.97173
22,0.56561,0.35568,1.4366,0.96539
23,0.56648,0.35238,1.4292,0.95188
24,0.55623,0.3513,1.44,0.96146
25,0.57336,0.3635,1.4492,0.95237
26,0.55031,0.34612,1.4348,0.94372
27,0.57102,0.35717,1.4301,0.9722
28,0.56504,0.35439,1.4211,0.98235
29,0.5514,0.34714,1.4212,0.9479
30,0.56388,0.35236,1.4305,0.95058
31,0.54043,0.34138,1.4358,0.9665
32,0.56591,0.3533,1.4366,0.97524
33,0.54568,0.34332,1.4406,0.97791
34,0.55044,0.34607,1.4558,0.96557
35,0.53812,0.33919,1.4624,0.93786
36,0.55377,0.35038,1.4623,0.94432
37,0.55069,0.35117,1.4487,0.92699
38,0.56035,0.3498,1.4354,0.93793
39,0.55012,0.34287,1.4304,0.92092
40,0.52394,0.32948,1.438,0.91273
41,0.54356,0.34163,1.4324,0.9196
42,0.54271,0.34051,1.4357,0.93262
43,0.55111,0.34531,1.4402,0.94477
44,0.5598,0.3465,1.4349,0.94227
45,0.54468,0.3403,1.4327,0.93895
46,0.53553,0.33657,1.4283,0.96208
47,0.53291,0.34122,1.432,0.96802
48,0.56014,0.35327,1.443,0.97798
49,0.52943,0.33369,1.4402,0.96825
50,0.53463,0.33643,1.4363,0.9654
51,0.52444,0.32969,1.4354,0.97043
52,0.5382,0.33845,1.4495,0.96482
53,0.53426,0.34186,1.4446,0.95077
54,0.54528,0.34369,1.4367,0.9277
55,0.54665,0.34569,1.4384,0.90589
56,0.54148,0.34131,1.4386,0.93653
57,0.5242,0.33071,1.4358,0.93787
58,0.52442,0.33676,1.4504,0.94253
59,0.52627,0.33378,1.4556,0.93155
60,0.52729,0.33128,1.4461,0.94907
61,0.54816,0.33612,1.4505,0.94747
62,0.53004,0.33112,1.4521,0.94463
63,0.52903,0.3284,1.4554,0.96003
64,0.52947,0.33314,1.4484,0.94601
65,0.53596,0.34195,1.4403,0.93503
66,0.49954,0.32355,1.4373,0.9498
67,0.50522,0.32205,1.4293,0.95922
68,0.51686,0.32553,1.4397,0.95612
69,0.51555,0.32755,1.4457,0.93979
70,0.51014,0.32187,1.4417,0.93208
71,0.51833,0.32852,1.4481,0.9404
72,0.52244,0.33197,1.4554,0.96054
73,0.50419,0.32344,1.445,0.94561
74,0.52027,0.32569,1.442,0.94948
75,0.50115,0.32223,1.4422,0.94432
76,0.51262,0.32606,1.4483,0.93463
77,0.51536,0.32423,1.4482,0.95335
78,0.52568,0.32786,1.4405,0.96459
79,0.51603,0.32878,1.4356,0.96429
80,0.51055,0.32781,1.4283,0.95377
81,0.50668,0.32327,1.4276,0.94388
82,0.51807,0.33121,1.4346,0.92633
83,0.51185,0.32359,1.4364,0.92945
84,0.50004,0.31927,1.4314,0.92317
85,0.51649,0.32811,1.4293,0.91944
86,0.51262,0.32489,1.4306,0.92428
87,0.50547,0.31765,1.4395,0.93062
88,0.51069,0.31697,1.4484,0.95257
89,0.49579,0.31533,1.4478,0.95953
90,0.50356,0.32033,1.4431,0.95774
91,0.49573,0.3172,1.4405,0.95173
92,0.49189,0.31579,1.437,0.93951
93,0.49369,0.31598,1.4453,0.93486
94,0.50614,0.31909,1.4455,0.94759
95,0.49539,0.31886,1.4457,0.93971
96,0.51113,0.32504,1.436,0.92633
97,0.49619,0.31934,1.4418,0.92135
98,0.49124,0.31508,1.448,0.92831
99,0.50245,0.32042,1.4417,0.95357
100,0.50341,0.32261,1.4407,0.94263
101,0.50767,0.32431,1.4365,0.94061
102,0.49753,0.31298,1.4384,0.94962
103,0.49043,0.31019,1.4392,0.94433
104,0.492,0.31438,1.4449,0.94394
105,0.49872,0.32248,1.4404,0.93856
106,0.50003,0.31972,1.4435,0.9598
107,0.48585,0.31317,1.4433,0.96241
108,0.4809,0.30913,1.4437,0.9495
109,0.48739,0.31198,1.4459,0.95664
110,0.47044,0.30375,1.4473,0.96237
111,0.47679,0.31319,1.4543,0.95838
112,0.50601,0.32098,1.4565,0.96766
113,0.49212,0.31843,1.458,0.96227
114,0.47043,0.3021,1.4558,0.97172
115,0.49283,0.31061,1.4558,0.9582
116,0.47956,0.31004,1.4449,0.96587
117,0.49741,0.31506,1.4481,0.95471
118,0.48315,0.30976,1.4486,0.94619
119,0.49578,0.31829,1.4453,0.95681
120,0.48304,0.31045,1.4522,0.96685
121,0.46981,0.30578,1.4491,0.95291
122,0.4915,0.30896,1.447,0.95028
123,0.48125,0.30464,1.4464,0.95071
124,0.48074,0.30614,1.4502,0.9428
125,0.47599,0.30595,1.4396,0.94819
126,0.48538,0.31371,1.4381,0.95533
127,0.47644,0.31042,1.4404,0.95268
128,0.49823,0.31598,1.4424,0.95026
129,0.46775,0.30764,1.4401,0.95345
130,0.47795,0.30181,1.4356,0.9383
131,0.48978,0.31237,1.4421,0.93158
132,0.46622,0.30238,1.4342,0.94148
133,0.46565,0.29806,1.4376,0.95327
134,0.46735,0.30687,1.4387,0.96648
135,0.46183,0.29966,1.4351,0.96688
136,0.48029,0.30353,1.439,0.96929
137,0.48411,0.30696,1.4386,0.98068
138,0.48175,0.30737,1.4366,0.95557
139,0.47912,0.30487,1.4311,0.94435
140,0.48072,0.3091,1.434,0.94533
141,0.4603,0.2966,1.4426,0.94601
142,0.48951,0.31001,1.4425,0.95276
143,0.47495,0.30098,1.4444,0.95515
144,0.45577,0.29459,1.4424,0.95246
145,0.46629,0.30276,1.4371,0.95379
146,0.47066,0.29952,1.4315,0.9491
147,0.46634,0.30023,1.4334,0.9523
148,0.46073,0.30441,1.4397,0.9554
149,0.45132,0.29837,1.4414,0.97134
150,0.48164,0.30533,1.4361,0.9728
151,0.4599,0.30064,1.4317,0.96831
152,0.46987,0.3027,1.4332,0.95216
153,0.45675,0.29507,1.43,0.9499
154,0.45439,0.29584,1.4275,0.96154
155,0.46196,0.2983,1.4295,0.95811
156,0.46868,0.30443,1.4335,0.95536
157,0.46243,0.29653,1.4409,0.96283
158,0.44875,0.29,1.4436,0.96433
159,0.47347,0.30253,1.4445,0.96535
160,0.45204,0.29209,1.4383,0.97775
161,0.45827,0.29516,1.4344,0.97809
162,0.45974,0.29302,1.4359,0.96993
163,0.44046,0.28895,1.4308,0.96494
164,0.44261,0.28448,1.435,0.95979
165,0.46122,0.29985,1.4385,0.95916
166,0.45948,0.30036,1.4398,0.96959
167,0.45242,0.29351,1.4368,0.96267
168,0.46193,0.30073,1.4359,0.96326
169,0.46193,0.29808,1.4348,0.9734
170,0.45499,0.29525,1.4342,0.98101
171,0.45227,0.29493,1.4327,0.98166
172,0.45366,0.29166,1.4324,0.97351
173,0.42564,0.27711,1.4349,0.96197
174,0.44346,0.28805,1.4323,0.96906
175,0.44686,0.28864,1.4314,0.9596
176,0.44315,0.28457,1.4291,0.94838
177,0.45995,0.29861,1.4311,0.94802
178,0.45415,0.298,1.4341,0.94995
179,0.44478,0.2888,1.4325,0.95895
180,0.44811,0.29133,1.431,0.9611
181,0.45106,0.28927,1.4318,0.96244
182,0.44221,0.2877,1.4319,0.96657
183,0.43792,0.28932,1.4345,0.97383
184,0.45258,0.29368,1.4324,0.98037
185,0.45356,0.29413,1.4324,0.98645
186,0.4524,0.29667,1.4341,0.96896
187,0.43504,0.28387,1.4347,0.9678
188,0.44204,0.2857,1.4354,0.96854
189,0.44257,0.2872,1.4349,0.97112
190,0.44697,0.28886,1.4323,0.97072
191,0.44251,0.27548,1.4412,0.94892
192,0.44317,0.27024,1.4428,0.93632
193,0.41937,0.25947,1.4435,0.9458
194,0.4143,0.25519,1.4445,0.95764
195,0.41082,0.25674,1.4461,0.97098
196,0.40776,0.25105,1.4477,0.97704
197,0.39508,0.2496,1.4484,0.98148
198,0.39988,0.24971,1.448,0.98106
199,0.40371,0.25032,1.4463,0.98241
200,0.40481,0.25137,1.4438,0.98129
